estrutura time amostra
LSM 12851 1000
LSM 9988 1000
LSM 28565 1000
LSM 9568 1000
LSM 10058 1000
LSM 11454 1000
LSM 8590 1000
LSM 10057 1000
LSM 15365 1000
LSM 71937 2000
LSM 31080 2000
LSM 10057 2000
LSM 9918 2000
LSM 9987 2000
LSM 6705 2000
LSM 10476 2000
LSM 10616 2000
LSM 10476 2000
LSM 10337 2000
LSM 10127 2000
LSM 10058 2000
LSM 6635 2000
LSM 9918 2000
LSM 7403 2000
LSM 6704 2000
LSM 10406 2000
LSM 10058 2000
LSM 27238 2000
LSM 10127 2000
LSM 6635 2000
LSM 6635 2000
LSM 10058 2000
LSM 20464 2000
LSM 9987 2000
LSM 10127 2000
LSM 9918 2000
LSM 10476 2000
LSM 6775 2000
LSM 9987 2000
LSM 10476 2000
LSM 6146 2000
LSM 7543 2000
LSM 10616 2000
LSM 10267 2000
LSM 7194 2000
LSM 6565 2000
LSM 10057 2000
LSM 10476 2000
LSM 6635 2000
LSM 6775 2000
LSM 9918 2000
LSM 6775 2000
LSM 10966 2000
LSM 9917 2000
LSM 5797 2000
LSM 8102 2000
LSM 5308 2000
LSM 7123 2000
LSM 9150 2000
LSM 6146 2000
LSM 10616 2000
LSM 6076 2000
LSM 9498 2000
LSM 5727 2000
LSM 6635 2000
LSM 10616 2000
LSM 10057 2000
LSM 6635 2000
LSM 6635 2000
LSM 8101 2000
LSM 7194 2000
LSM 9359 2000
LSM 10547 2000
LSM 6985 2000
LSM 9149 2000
LSM 9010 2000
LSM 10476 2000
LSM 8590 2000
LSM 8102 2000
LSM 7753 2000
LSM 9987 2000
LSM 6705 2000
LSM 6705 2000
LSM 7264 2000
LSM 6216 2000
LSM 6705 2000
LSM 7962 2000
LSM 8521 2000
LSM 6705 2000
LSM 8101 2000
LSM 10127 2000
LSM 7054 2000
LSM 6635 2000
LSM 9987 2000
LSM 7543 2000
LSM 6775 2000
LSM 8939 2000
LSM 8241 2000
LSM 9987 2000
LSM 10477 2000
LSM 10057 2000
LSM 10477 2000
LSM 6774 2000
LSM 10546 2000
LSM 34293 2000
LSM 13270 2000
LSM 10477 2000
LSM 10127 2000
LSM 10057 2000
LSM 9848 2000
LSM 7193 2000
LSM 10337 2000
LSM 6705 2000
LSM 7124 2000
LSM 5727 2000
LSM 10057 2000
LSM 7123 2000
LSM 6774 2000
LSM 10476 2000
LSM 9918 2000
LSM 6845 2000
LSM 7054 2000
LSM 6775 2000
LSM 10336 2000
LSM 10406 2000
LSM 6635 2000
LSM 7124 2000
LSM 7264 2000
LSM 22978 2000
LSM 13969 2000
LSM 9987 2000
LSM 9848 2000
LSM 6705 2000
LSM 6495 2000
LSM 6705 2000
LSM 10337 2000
LSM 6705 2000
LSM 6635 2000
LSM 6146 2000
LSM 7124 2000
LSM 7123 2000
LSM 6705 2000
LSM 6635 2000
LSM 8590 2000
LSM 6566 2000
LSM 7193 2000
LSM 9988 2000
LSM 7054 2000
LSM 10477 2000
LSM 7054 2000
LSM 6705 2000
LSM 6566 2000
LSM 30940 2000
LSM 10406 2000
LSM 10546 2000
LSM 7124 2000
LSM 7054 2000
LSM 10546 2000
LSM 10476 2000
LSM 5797 2000
LSM 6635 2000
LSM 6635 2000
LSM 7054 2000
LSM 5308 2000
LSM 6635 2000
LSM 5797 2000
LSM 7124 2000
LSM 6774 2000
LSM 6635 2000
LSM 7264 2000
LSM 7124 2000
LSM 6775 2000
LSM 6635 2000
LSM 6286 2000
LSM 7054 2000
LSM 6286 2000
LSM 6076 2000
LSM 6775 2000
LSM 6565 2000
LSM 10057 2000
LSM 7054 2000
LSM 4819 2000
LSM 5238 2000
LSM 4261 2000
LSM 6705 2000
LSM 4191 2000
LSM 7194 2000
LSM 7054 2000
LSM 7124 2000
LSM 10407 2000
LSM 6775 2000
LSM 6635 2000
LSM 6705 2000
LSM 4749 2000
LSM 5308 2000
LSM 6705 2000
LSM 10337 2000
LSM 8940 2000
LSM 5657 2000
LSM 10057 2000
LSM 6705 2000
LSM 6705 2000
LSM 6635 2000
LSM 7054 2000
LSM 6775 2000
LSM 6705 2000
LSM 6774 2000
LSM 7054 2000
LSM 6705 2000
LSM 7124 2000
LSM 6705 2000
LSM 6705 2000
LSM 6565 2000
LSM 6705 2000
LSM 4819 2000
LSM 6565 2000
LSM 6775 2000
LSM 7124 2000
LSM 5238 2000
LSM 7054 2000
LSM 6775 2000
LSM 4679 2000
LSM 6844 2000
LSM 6704 2000
LSM 7264 2000
LSM 7054 2000
LSM 7123 2000
LSM 6984 2000
LSM 7193 2000
LSM 6216 2000
LSM 5657 2000
LSM 13410 2000
LSM 6775 2000
LSM 6635 2000
LSM 7194 2000
LSM 5727 2000
LSM 5168 2000
LSM 4400 2000
LSM 7124 2000
LSM 7264 2000
LSM 10406 2000
LSM 7264 2000
